9

    18    39    67    20    13    55    76    30    67
    47    38    17    16    81    20    33    96    12
    9    75    91    23    84    10    75    4    22
    88    19    3    46    67    72    92    7    28
    18    40    19    42    27    97    72    10    100
    5    76    91    9    70    3    27    23    66
    24    96    52    80    33    27    84    86    44
    1    93    75    36    67    53    99    53    6
    73    10    27    3    83    67    12    89    75

    0    57    1    44    75    32    98    19    76
    57    0    50    34    93    35    1    87    64
    1    50    0    95    27    73    4    68    30
    44    34    95    0    52    53    67    55    67
    75    93    27    52    0    53    80    52    1
    32    35    73    53    53    0    12    67    58
    98    1    4    67    80    12    0    76    50
    19    87    68    55    52    67    76    0    53
    76    64    30    67    1    58    50    53    0

    1    29    2    73    78    64    75    61    81
    2    21    80    31    42    22    57    11    16
    32    98    15    2    77    66    74    32    83
    33    53    95    82    21    82    44    74    24
    3    2    62    95    12    96    36    96    64
    66    82    80    12    9    9    72    47    65
    74    31    48    18    43    27    58    42    12
    65    58    46    22    4    56    83    87    24
    49    26    85    33    98    45    2    78    40
