7

    2    43    16    53    61    30    74
    7    9    42    28    23    8    92
    88    7    94    24    20    83    26
    39    69    86    42    12    32    36
    46    80    41    88    39    21    79
    9    3    96    50    59    26    56
    93    37    3    20    61    31    21

    0    19    54    75    56    94    55
    19    0    27    57    83    52    33
    54    27    0    86    95    78    82
    75    57    86    0    74    12    70
    56    83    95    74    0    55    7
    94    52    78    12    55    0    59
    55    33    82    70    7    59    0

    69    95    3    73    23    46    67
    82    37    31    19    80    22    83
    74    43    88    19    51    99    5
    56    5    15    4    89    24    58
    28    17    43    27    89    79    93
    49    2    58    3    64    73    36
    23    47    61    99    56    48    26
