9

    54    77    82    80    30    87    17    43    70
    2    54    44    51    69    97    66    23    13
    81    64    45    20    43    27    72    27    97
    17    30    43    39    12    92    11    49    98
    59    7    56    35    88    90    68    47    44
    99    89    47    12    40    53    6    9    62
    82    95    32    98    20    71    93    60    23
    74    88    81    85    20    14    27    30    4
    29    49    92    100    73    57    92    85    14

    0    66    95    13    35    96    29    60    78
    66    0    80    98    98    48    58    66    40
    95    80    0    59    10    77    97    55    6
    13    98    59    0    39    6    75    14    14
    35    98    10    39    0    49    5    84    24
    96    48    77    6    49    0    22    83    82
    29    58    97    75    5    22    0    85    8
    60    66    55    14    84    83    85    0    99
    78    40    6    14    24    82    8    99    0

    70    13    14    44    10    80    59    60    29
    39    7    34    30    5    99    64    40    60
    97    10    84    2    40    22    36    6    81
    52    13    22    55    69    80    11    67    100
    64    88    1    22    8    72    39    75    35
    60    37    2    94    24    60    38    86    41
    28    86    27    98    76    72    55    90    45
    52    69    25    45    14    19    36    42    34
    85    36    95    24    48    66    37    85    72
