10

    54    91    74    58    74    4    68    91    84    89
    36    86    51    81    65    71    25    69    71    30
    15    92    29    48    38    52    44    53    13    30
    86    54    61    73    64    40    54    60    50    19
    37    100    63    6    84    46    12    17    78    94
    96    90    23    34    100    75    9    61    89    15
    40    97    17    79    62    14    75    97    32    5
    60    49    43    40    50    40    66    79    7    26
    26    85    60    99    35    53    44    9    70    54
    99    83    92    16    93    37    57    91    28    73

    0    11    72    81    30    54    68    10    79    52
    11    0    62    3    8    5    6    3    23    93
    72    62    0    21    50    53    46    24    65    40
    81    3    21    0    90    36    82    80    52    71
    30    8    50    90    0    56    54    30    93    77
    54    5    53    36    56    0    42    83    19    9
    68    6    46    82    54    42    0    31    26    70
    10    3    24    80    30    83    31    0    14    65
    79    23    65    52    93    19    26    14    0    50
    52    93    40    71    77    9    70    65    50    0

    66    96    14    45    22    58    36    44    13    77
    98    76    78    18    81    60    8    13    66    68
    70    30    82    62    3    90    32    41    40    20
    61    33    34    77    13    78    99    65    62    8
    63    19    11    24    75    37    24    6    45    89
    81    91    12    8    88    77    74    93    82    40
    92    27    46    25    45    28    17    19    99    89
    10    56    7    67    8    62    51    49    24    83
    42    29    14    51    42    5    61    35    21    67
    12    84    1    2    82    10    14    51    6    78
