10

    16    81    69    22    53    80    41    13    85    44
    1    82    84    79    50    57    70    52    13    23
    3    27    11    3    3    34    91    11    52    29
    55    12    62    16    78    85    38    81    82    72
    55    34    21    95    28    74    95    4    52    98
    61    87    49    45    76    42    94    17    50    4
    23    70    51    64    83    96    46    48    61    48
    10    52    93    51    93    77    22    81    86    52
    39    13    11    23    42    75    89    41    58    16
    79    100    34    26    37    55    100    59    95    41

    0    94    42    38    28    3    28    37    13    70
    94    0    8    94    72    34    14    39    61    36
    42    8    0    59    59    90    27    75    57    9
    38    94    59    0    2    14    91    81    95    46
    28    72    59    2    0    64    75    11    31    63
    3    34    90    14    64    0    95    71    92    43
    28    14    27    91    75    95    0    40    82    90
    37    39    75    81    11    71    40    0    83    42
    13    61    57    95    31    92    82    83    0    52
    70    36    9    46    63    43    90    42    52    0

    81    98    9    50    75    57    5    27    37    85
    10    66    61    33    48    24    23    45    24    97
    30    67    74    1    52    97    97    24    24    61
    58    27    42    56    63    31    95    69    20    36
    57    57    45    78    59    69    31    17    83    40
    93    86    73    69    30    80    93    52    22    95
    68    46    23    1    73    35    29    46    61    14
    10    50    38    48    62    15    9    94    18    56
    39    73    9    8    94    83    17    73    2    47
    98    40    54    90    1    54    96    11    58    36
