10

    53    13    63    6    23    93    97    100    60    66
    17    28    85    65    41    55    74    97    16    72
    90    1    19    95    50    95    35    68    14    76
    20    87    4    85    74    32    63    1    87    80
    36    11    85    74    88    48    75    11    73    47
    42    81    48    79    81    14    30    39    12    32
    39    91    26    14    33    28    31    26    78    29
    96    24    94    3    88    65    68    91    55    56
    71    20    80    4    22    98    78    10    82    14
    44    88    93    27    51    87    31    7    64    26

    0    43    27    2    83    63    69    50    43    79
    43    0    59    91    6    78    86    65    54    96
    27    59    0    69    15    23    11    8    20    63
    2    91    69    0    82    98    12    16    34    9
    83    6    15    82    0    80    95    78    98    8
    63    78    23    98    80    0    17    80    44    61
    69    86    11    12    95    17    0    54    52    5
    50    65    8    16    78    80    54    0    61    38
    43    54    20    34    98    44    52    61    0    74
    79    96    63    9    8    61    5    38    74    0

    45    68    61    84    27    80    48    45    31    47
    90    62    66    40    33    50    92    73    69    10
    53    45    94    44    23    68    11    34    5    23
    46    84    13    70    49    1    96    84    17    5
    51    4    38    13    51    33    55    21    13    4
    10    39    6    92    95    21    71    26    27    31
    68    21    76    64    53    20    68    98    51    91
    78    79    19    35    25    35    53    21    39    94
    16    96    49    71    78    99    50    51    30    63
    30    23    38    92    12    54    58    24    34    63
