6

    1    25    35    26    8    27
    68    90    61    92    67    58
    27    73    36    68    8    58
    23    57    57    97    99    58
    61    54    76    90    97    88
    88    34    78    32    66    88

    0    43    59    1    97    36
    43    0    75    23    93    44
    59    75    0    51    50    88
    1    23    51    0    55    6
    97    93    50    55    0    2
    36    44    88    6    2    0

    21    74    89    74    40    83
    36    20    46    87    75    55
    40    45    23    58    86    94
    69    71    53    43    10    82
    87    43    8    99    20    83
    32    84    35    29    79    39
