8

    40    71    54    8    86    32    84    6
    57    95    4    21    70    12    28    97
    76    19    39    95    43    42    75    1
    90    32    53    19    77    60    32    26
    63    76    30    6    67    5    99    69
    51    59    18    27    4    85    87    62
    60    16    56    11    62    71    26    21
    83    55    57    56    57    93    32    16

    0    50    22    25    90    13    42    6
    50    0    13    73    83    6    62    15
    22    13    0    14    2    75    37    33
    25    73    14    0    22    40    78    25
    90    83    2    22    0    82    26    16
    13    6    75    40    82    0    4    40
    42    62    37    78    26    4    0    90
    6    15    33    25    16    40    90    0

    88    10    17    87    15    49    98    59
    98    5    78    40    6    74    16    65
    44    51    7    67    74    32    57    88
    87    3    36    90    70    42    50    47
    18    65    90    24    68    70    13    47
    21    20    8    34    54    46    65    68
    14    99    71    32    70    40    94    76
    94    63    94    22    4    65    11    20
