10

    82    22    85    92    91    69    77    97    27    20
    16    52    79    71    35    41    10    54    72    33
    75    31    89    54    32    85    35    18    77    89
    64    82    81    39    84    30    30    55    55    18
    87    29    82    48    85    3    62    62    41    7
    74    67    38    11    91    43    42    85    27    85
    30    69    16    64    92    23    1    3    95    6
    30    70    70    28    33    35    3    80    98    23
    4    10    3    28    80    51    98    85    71    82
    61    4    4    14    80    46    59    41    31    2

    0    55    49    15    78    29    48    19    85    25
    55    0    42    84    97    28    43    3    23    72
    49    42    0    61    5    78    60    63    72    54
    15    84    61    0    94    76    89    50    82    10
    78    97    5    94    0    57    37    73    35    77
    29    28    78    76    57    0    15    12    1    83
    48    43    60    89    37    15    0    12    12    17
    19    3    63    50    73    12    12    0    90    69
    85    23    72    82    35    1    12    90    0    64
    25    72    54    10    77    83    17    69    64    0

    23    20    51    13    43    53    70    84    32    29
    41    87    58    68    33    76    74    74    19    52
    75    3    53    68    42    97    57    4    99    37
    28    29    30    61    41    44    100    64    6    1
    71    83    31    1    84    77    3    36    31    5
    95    67    22    20    95    16    5    40    26    13
    1    70    17    80    25    72    49    15    18    41
    39    19    2    70    8    80    40    95    85    86
    4    47    40    44    17    85    57    69    24    29
    58    61    60    88    37    11    18    51    82    57
