9

    78    37    84    57    67    80    70    15    31
    35    52    57    40    97    28    87    54    1
    77    5    13    1    87    70    95    94    4
    26    88    36    90    76    50    92    80    55
    12    98    85    67    53    75    65    21    98
    6    71    75    15    20    17    30    1    76
    63    25    98    43    5    88    7    20    73
    61    3    21    95    1    93    82    7    54
    24    79    28    100    60    5    91    4    40

    0    25    54    10    1    10    25    67    21
    25    0    96    98    86    30    28    68    48
    54    96    0    13    71    92    15    44    75
    10    98    13    0    12    96    2    6    36
    1    86    71    12    0    40    65    28    77
    10    30    92    96    40    0    91    60    56
    25    28    15    2    65    91    0    73    95
    67    68    44    6    28    60    73    0    8
    21    48    75    36    77    56    95    8    0

    83    88    81    67    4    15    91    88    25
    65    76    72    63    3    71    12    40    99
    48    82    43    95    85    50    67    46    61
    95    28    92    93    43    61    52    56    44
    87    92    29    13    41    6    81    14    37
    5    25    74    78    7    20    28    77    33
    45    26    63    5    72    15    13    8    55
    43    43    85    20    63    65    18    70    19
    15    19    22    67    100    60    9    47    66
