7

    92    8    85    31    31    99    55
    43    69    54    18    9    43    60
    31    100    34    42    68    70    98
    78    18    13    50    42    34    75
    7    51    37    74    91    100    17
    78    34    95    1    27    26    37
    36    18    60    26    22    31    27

    0    81    11    72    8    25    58
    81    0    46    55    24    84    68
    11    46    0    25    18    92    86
    72    55    25    0    58    34    36
    8    24    18    58    0    33    86
    25    84    92    34    33    0    58
    58    68    86    36    86    58    0

    31    95    18    22    66    49    21
    66    11    25    77    62    83    4
    72    47    94    43    82    3    68
    62    55    37    22    79    67    25
    54    8    57    92    33    48    34
    100    48    74    19    51    94    43
    31    61    20    4    63    34    12
