9

    48    78    46    9    39    59    15    42    91
    99    10    84    22    50    93    32    74    75
    6    81    75    75    64    43    47    70    58
    3    88    75    26    51    30    16    2    81
    19    87    52    7    7    29    73    39    90
    14    34    29    4    16    49    56    20    14
    71    34    65    49    14    99    35    21    93
    9    60    19    10    34    49    34    10    34
    94    63    3    56    99    96    95    62    10

    0    88    46    76    92    20    99    96    72
    88    0    86    14    67    95    35    37    50
    46    86    0    92    78    9    27    80    6
    76    14    92    0    95    78    56    56    52
    92    67    78    95    0    6    86    79    82
    20    95    9    78    6    0    43    90    89
    99    35    27    56    86    43    0    37    96
    96    37    80    56    79    90    37    0    14
    72    50    6    52    82    89    96    14    0

    71    63    35    60    54    30    78    99    28
    1    53    37    25    67    86    15    36    36
    61    61    51    67    43    46    6    28    79
    21    51    78    91    41    19    57    15    47
    66    52    87    23    74    72    64    47    86
    7    4    10    65    69    33    74    97    31
    27    79    42    23    74    19    54    79    58
    63    53    43    94    26    19    15    90    43
    60    88    4    44    50    11    25    32    75
