7

    91    57    52    67    19    32    90
    77    65    50    68    82    37    50
    51    69    52    24    6    25    79
    25    51    17    85    89    57    87
    100    88    28    13    89    35    86
    19    79    55    15    83    88    25
    75    82    27    6    58    51    59

    0    24    2    59    16    2    52
    24    0    75    8    53    91    94
    2    75    0    71    20    68    38
    59    8    71    0    30    85    98
    16    53    20    30    0    35    44
    2    91    68    85    35    0    38
    52    94    38    98    44    38    0

    91    6    9    73    9    75    92
    32    39    74    85    22    26    35
    24    92    43    34    75    70    77
    27    54    93    47    47    4    36
    52    100    50    39    69    60    26
    33    46    90    97    52    63    54
    100    43    49    29    66    98    97
