6

    94    47    44    46    9    98
    58    40    24    12    30    59
    42    25    62    31    77    6
    94    83    31    80    27    3
    11    19    83    65    78    58
    39    73    25    80    4    89

    0    82    24    22    65    44
    82    0    20    31    69    83
    24    20    0    78    76    21
    22    31    78    0    73    1
    65    69    76    73    0    16
    44    83    21    1    16    0

    90    8    57    70    70    34
    88    68    44    52    12    94
    4    58    62    74    93    57
    60    78    47    65    13    38
    29    49    100    24    86    97
    10    99    94    71    90    31
