7

    9    5    45    15    19    52    9
    24    2    41    30    5    97    92
    12    22    97    50    56    79    77
    78    3    84    98    32    4    33
    49    99    61    48    97    74    94
    18    41    79    44    38    31    45
    32    100    56    33    37    20    32

    0    71    93    51    2    24    79
    71    0    26    16    6    68    53
    93    26    0    20    21    79    55
    51    16    20    0    82    26    90
    2    6    21    82    0    25    91
    24    68    79    26    25    0    1
    79    53    55    90    91    1    0

    52    56    58    10    80    16    57
    28    35    53    73    57    78    40
    16    26    55    53    37    56    31
    37    76    13    3    16    33    85
    75    59    65    55    2    77    46
    7    90    8    74    55    80    39
    73    6    84    73    60    79    39
