8

    63    22    73    52    15    64    46    25
    97    50    21    61    35    80    57    16
    8    1    90    91    86    75    85    90
    91    50    92    97    95    33    83    82
    79    72    38    64    71    71    42    54
    79    29    58    36    33    93    37    32
    71    60    96    70    12    69    98    68
    23    3    21    14    35    25    24    54

    0    91    27    29    39    76    35    68
    91    0    53    76    64    3    23    76
    27    53    0    16    76    62    64    64
    29    76    16    0    70    38    89    21
    39    64    76    70    0    75    70    20
    76    3    62    38    75    0    75    2
    35    23    64    89    70    75    0    15
    68    76    64    21    20    2    15    0

    71    68    43    99    45    65    64    30
    87    88    2    10    57    28    42    12
    11    61    59    17    21    22    84    16
    99    29    74    25    22    82    37    32
    100    23    4    88    29    59    88    8
    30    82    18    97    74    58    60    38
    55    31    87    26    51    5    9    90
    27    71    32    9    53    51    33    35
