6

    70    3    97    82    5    82
    8    85    31    68    95    72
    99    34    63    73    72    79
    63    87    64    90    98    47
    10    3    68    70    85    40
    38    53    27    36    93    12

    0    63    40    8    37    53
    63    0    29    76    1    94
    40    29    0    22    78    31
    8    76    22    0    24    21
    37    1    78    24    0    72
    53    94    31    21    72    0

    31    23    91    97    29    1
    99    67    55    68    64    95
    32    89    42    76    24    77
    27    60    71    17    16    12
    85    61    1    3    59    73
    13    10    29    57    63    14
