8

    70    38    48    38    33    67    97    83
    11    77    96    45    99    47    25    13
    51    72    71    48    87    1    50    91
    11    5    71    18    14    79    58    52
    10    90    91    19    99    48    77    13
    17    83    78    96    63    72    85    34
    72    12    22    14    20    64    1    14
    95    86    75    42    78    41    97    53

    0    39    71    29    70    8    54    21
    39    0    23    44    55    49    85    36
    71    23    0    40    96    63    43    78
    29    44    40    0    84    32    69    38
    70    55    96    84    0    45    92    73
    8    49    63    32    45    0    25    23
    54    85    43    69    92    25    0    48
    21    36    78    38    73    23    48    0

    64    39    69    8    64    51    77    67
    35    96    71    74    46    75    53    62
    31    6    86    5    69    4    56    11
    82    11    58    89    94    44    20    17
    3    84    90    50    6    26    43    67
    57    65    10    37    24    58    58    4
    4    18    83    69    40    75    70    30
    64    95    54    25    9    27    82    12
