8

    86    82    28    61    58    50    53    83
    21    87    63    43    64    55    58    31
    77    69    29    64    95    45    14    95
    41    18    27    74    9    17    29    97
    50    45    77    94    84    71    80    60
    29    37    6    36    57    38    38    83
    4    17    41    89    76    9    32    43
    30    82    11    47    17    63    2    87

    0    24    83    90    30    9    48    86
    24    0    97    50    96    96    74    46
    83    97    0    69    6    22    36    20
    90    50    69    0    77    6    19    33
    30    96    6    77    0    11    95    73
    9    96    22    6    11    0    39    56
    48    74    36    19    95    39    0    98
    86    46    20    33    73    56    98    0

    51    99    31    63    42    57    70    55
    93    40    73    21    9    32    19    95
    52    94    21    18    68    35    23    14
    17    81    61    32    2    91    19    49
    27    64    58    55    46    22    16    77
    53    72    30    42    12    30    24    56
    37    95    99    16    82    18    21    59
    96    12    25    6    77    94    98    71
