7

    89    96    42    3    18    61    37
    43    81    81    9    15    27    72
    13    6    72    80    3    33    96
    73    65    28    79    96    94    45
    99    45    87    27    10    12    66
    60    71    26    60    57    11    23
    83    59    55    59    57    60    19

    0    44    36    63    23    14    77
    44    0    75    28    16    41    18
    36    75    0    87    59    76    58
    63    28    87    0    12    54    33
    23    16    59    12    0    80    17
    14    41    76    54    80    0    52
    77    18    58    33    17    52    0

    18    5    71    32    57    49    99
    16    59    10    74    79    81    69
    50    85    96    77    54    69    8
    83    41    100    95    54    51    82
    80    25    67    22    27    35    75
    70    22    35    10    8    65    89
    64    57    23    81    81    19    16
