10

    50    76    98    22    68    42    59    2    84    59
    91    7    54    54    97    33    61    94    38    6
    100    22    18    45    96    45    69    99    10    3
    47    12    22    39    47    96    69    4    25    51
    70    81    54    21    84    68    29    98    28    92
    56    47    15    67    98    93    11    83    91    14
    84    10    86    81    38    29    61    33    93    99
    32    18    31    17    68    93    59    23    27    98
    34    11    93    80    53    93    37    26    19    82
    68    21    93    17    13    59    88    40    39    10

    0    50    27    21    43    52    17    72    90    38
    50    0    43    50    91    30    63    9    78    63
    27    43    0    64    59    48    25    77    28    60
    21    50    64    0    44    43    88    60    83    82
    43    91    59    44    0    28    16    29    3    91
    52    30    48    43    28    0    64    71    45    5
    17    63    25    88    16    64    0    21    83    85
    72    9    77    60    29    71    21    0    60    80
    90    78    28    83    3    45    83    60    0    83
    38    63    60    82    91    5    85    80    83    0

    87    75    52    31    89    83    30    27    16    6
    58    64    22    5    10    34    78    71    49    27
    67    11    56    74    2    4    86    53    69    89
    86    32    96    37    10    89    2    18    57    7
    26    58    25    37    57    6    79    2    73    25
    32    95    100    72    87    36    14    80    38    31
    7    48    61    29    50    29    89    51    96    89
    57    1    27    57    47    3    20    79    36    87
    75    39    81    58    37    83    38    9    37    86
    15    79    28    14    100    71    98    66    35    56
