6

    94    56    74    7    85    95
    80    20    68    45    69    56
    96    68    58    59    20    49
    99    65    60    73    62    24
    49    93    45    44    79    59
    85    17    100    28    37    77

    0    22    96    36    69    46
    22    0    63    57    64    34
    96    63    0    2    40    3
    36    57    2    0    27    54
    69    64    40    27    0    17
    46    34    3    54    17    0

    32    5    74    66    24    48
    10    39    97    10    11    3
    72    72    16    59    28    53
    25    23    71    23    34    64
    19    32    34    60    52    43
    47    49    66    70    63    20
