6

    90    59    42    47    3    93
    12    23    59    44    77    36
    5    32    23    35    37    44
    60    16    38    24    35    4
    99    70    76    68    3    47
    78    56    27    70    46    66

    0    88    62    83    27    31
    88    0    40    9    5    90
    62    40    0    93    93    48
    83    9    93    0    10    30
    27    5    93    10    0    43
    31    90    48    30    43    0

    81    58    63    57    16    29
    23    88    23    46    36    83
    94    38    17    54    84    78
    1    63    65    4    20    62
    73    32    3    50    49    71
    38    81    30    80    50    54
