9

    9    56    40    51    62    20    9    58    64
    51    3    6    12    94    86    82    35    50
    54    2    76    26    57    73    49    42    74
    48    92    86    47    91    62    80    35    89
    53    74    55    28    58    48    2    71    19
    16    83    1    78    24    21    97    80    84
    96    24    3    9    41    31    12    62    5
    25    30    65    17    88    96    38    66    63
    8    61    51    48    91    53    25    74    70

    0    9    96    45    46    37    68    45    45
    9    0    50    15    53    23    3    44    15
    96    50    0    82    33    58    78    47    36
    45    15    82    0    67    49    37    58    24
    46    53    33    67    0    12    73    56    87
    37    23    58    49    12    0    71    78    52
    68    3    78    37    73    71    0    16    67
    45    44    47    58    56    78    16    0    32
    45    15    36    24    87    52    67    32    0

    100    65    100    26    11    87    54    61    20
    36    60    28    39    92    95    67    35    38
    90    25    43    16    86    76    88    42    23
    54    67    16    63    4    15    26    96    48
    12    92    34    92    52    55    34    65    83
    80    22    60    96    1    39    6    67    16
    51    76    57    33    24    45    91    59    83
    62    44    95    22    3    60    45    99    42
    46    4    23    69    86    53    32    28    33
