8

    19    5    38    42    53    95    82    66
    54    67    88    57    28    35    47    17
    92    64    67    78    43    30    35    87
    66    20    85    61    81    17    57    9
    3    32    40    98    77    45    28    12
    8    60    41    90    91    33    44    45
    60    75    60    79    42    42    38    12
    89    29    32    13    43    18    45    56

    0    89    1    54    50    76    40    21
    89    0    69    2    45    79    88    53
    1    69    0    4    85    32    9    81
    54    2    4    0    32    61    16    35
    50    45    85    32    0    74    53    71
    76    79    32    61    74    0    38    13
    40    88    9    16    53    38    0    16
    21    53    81    35    71    13    16    0

    14    83    10    34    72    62    28    50
    1    64    58    84    78    26    42    71
    39    75    64    22    72    91    66    3
    12    27    16    47    51    66    49    40
    75    8    78    49    59    19    8    85
    38    71    78    76    42    48    70    80
    79    63    3    13    81    12    46    78
    44    35    34    76    18    68    78    12
