20

[0.0,0.003639,0.00911,0.00436,0.004993,0.002435,0.003926,0.004647,0.004678,0.004128,0.006665,0.001622,0.005623,0.004444,0.002278,0.004939,0.003176,0.002003,0.002403,0.0,0.004361,0.001951,0.001101,0.001558,0.008146,0.003217,0.000728,0.005674,0.007249,0.002073,0.002798]

[
[0.001017,0.000803,0.001073,0.001842,8.9e-05,0.001318,0.001195,0.001603,0.000887,0.001186,0.001663,0.000965,0.001547,0.001371,0.002432,0.001336,0.001613,0.001202,0.001037,0.000865,0.002006,0.001359,0.001519,0.001163,0.001144,0.000673,0.001253,0.001183,0.001089,0.000536,0.000894],
[0.000803,0.00011,0.000523,0.000652,0.000338,0.001927,0.001327,0.001564,0.00122,0.001028,0.001325,0.001145,0.001016,0.000947,0.001529,0.001383,0.001268,0.001431,0.001596,0.002064,0.001193,0.000861,0.000744,0.001671,0.000916,0.00191,0.001819,0.00097,0.000866,0.001816,0.000649],
[0.001073,0.000523,0.000709,0.000922,0.001146,0.000604,0.001795,0.000788,0.001286,0.001178,0.000488,0.00081,0.001526,0.001585,0.000955,0.000869,0.000875,0.001123,0.001409,0.000986,0.000945,0.001252,0.001001,0.001666,0.000964,0.000952,0.00173,0.001496,0.000426,0.001286,0.001996],
[0.001842,0.000652,0.000922,0.001791,0.001645,0.00068,0.001445,0.001421,0.000728,0.001079,0.001367,0.001079,0.00066,0.001314,0.001234,0.001383,0.000704,0.001212,0.00132,0.001653,0.001547,0.001893,0.001075,0.00189,0.001001,0.00054,0.001566,0.000941,0.001425,0.001289,0.001631],
[8.9e-05,0.000338,0.001146,0.001645,0.001667,0.001053,0.000511,0.001275,0.001653,0.001167,0.001395,0.001317,0.001622,0.000677,0.001344,0.00032,0.001272,0.001435,0.001716,0.001398,0.001057,0.001631,0.001089,0.000958,0.001749,0.001749,0.001711,0.000867,0.000673,0.000867,0.001847],
[0.001318,0.001927,0.000604,0.00068,0.001053,0.00091,0.000442,0.001122,0.001314,0.001081,0.001357,0.000487,0.001498,0.000506,0.001317,0.001754,0.00081,0.000658,0.001154,0.001814,0.000782,0.001279,0.001079,0.001219,0.001409,0.001365,0.001572,0.001235,0.001306,0.000234,0.001387],
[0.001195,0.001327,0.001795,0.001445,0.000511,0.000442,0.001444,0.001897,0.00176,0.000868,0.000665,0.000457,0.000595,0.001434,0.000814,0.000889,0.001237,0.001519,0.00092,0.001891,0.00079,0.000814,0.002011,0.001041,0.000603,0.000824,0.001066,0.00057,0.001119,0.000941,0.000929],
[0.001603,0.001564,0.000788,0.001421,0.001275,0.001122,0.001897,0.000557,0.000745,0.001101,0.000605,0.001362,0.000907,0.000526,0.001133,0.001678,0.000852,0.001605,0.001539,0.000899,0.00159,0.001686,0.001443,0.001164,0.001002,0.00055,0.000787,0.001592,0.001567,0.001217,0.001741],
[0.000887,0.00122,0.001286,0.000728,0.001653,0.001314,0.00176,0.000745,0.001676,0.001532,0.001053,0.001495,0.000561,0.001295,0.001311,0.001423,0.000601,0.001129,0.001758,0.001216,0.001758,0.000708,0.000927,0.001211,0.001257,0.001129,0.001399,0.0011,0.001063,0.001364,0.001521],
[0.001186,0.001028,0.001178,0.001079,0.001167,0.001081,0.000868,0.001101,0.001532,0.001312,0.000318,0.001661,0.000871,0.002038,0.001106,0.001438,0.001478,0.000466,0.002107,0.000689,0.000333,0.000726,0.001383,0.000954,0.001455,0.001271,0.001911,0.00028,0.000843,0.001649,0.001767],
